portatili,portable
ordinateur,computer
chiavetta,key
adaptador,adapter
jetzt,now
tarjeta,card
memoria,memory
ezüst,silver
mémoire,memory
intenso,intense
scheda,form
classe,class
speicherkarte,memory card
mobiltillbehör,mobile accessories
antracyt,anthracite
connectés,connected
unidad,Unit
zilver,silver
adaptateur,adapter
externe,outer
página,page
accessoires,accessories
montres,watches
extrem,extremely
lesen,read
laufwerk,drive
sobre,on
guardado,saved
comparar,compare
elegir,choose
mejor,best
descuento,discount
socios,partners
puedes,you can
recoger,pick
tienda,shop
gratis,free
minneskort,memory card
homologuée,homologated
fotoksi,photoxy
kostenloser,free
chiavette,keys
velocidades,speeds
allant,going
niebieski,blue
hasta,until
professionnelles,professional
jusqu,until
kamera,camera
lectura,reading
clase,class
achat,purchase
seconde,second
capacité,capacity
stockage,storage
remise,delivery
adhérents,members
karty,card
lecteur,reader
eheugenkaart,memory card
eneración,generation
ervený,red
violeta,purple
llave,wrench
compra,purchase
tecnología,technology
garantías,guarantee
métal,metal
minne,remind
erste,first
kovový,metal
przeno,figuratively
unità,unit
wysokiej,high
która,which
zosta,stayed
zaprojektowana,designed
zapisu,write
rozdzielczo,resolution
szybkich,fast
trybów,modes
seryjnych,serial
filmowania,filming
trakcie,during
korzystania,use
takich,such
zaawansowane,advanced
smartfony,smartphones
tablety,tablets
kamery,cameras
sportowe,sports
wytrzyma,survive
obudowa,case
zapewnia,ensure
bezpiecze,safety
danych,data
odporno,resistant
wstrz,shock
promieniowanie,radiation
rentgenowskie,x-rays
skrajne,extreme
temperatury,temperature
szybki,fast
odczyt,reading
wynosz,amount
pozwala,allows
swobodn,free
cyfrowej,digital
ciemni,darkroom
studiu,study
profesjonalnymi,professional
aparatami,cameras
cyfrowymi,digital
kamerami,cameras
zestawie,set
adapterem,adapter
liwiaj,lily
przes,transfer
komputera,computer
achetez,buy
produits,products
informatique,computer
retirez,withdraw
magasin,store
czytnikiem,reader
karte,map
versand,shipping
einfach,easy
klasse,great
portatile,portable
